Order Date,Category,Sub Category,Sales,Discount,Profit
2015-01-03,Bakery,Breads & Buns,864,0.26,380.16
2015-01-04,Bakery,Cakes,2033,0.15,325.28
2015-01-04,Beverages,Health Drinks,698,0.32,223.36
2015-01-04,Snacks,Chocolates,759,0.27,174.57
2015-01-05,"Eggs, Meat & Fish",Fish,878,0.35,149.26
2015-01-06,Oil & Masala,Masalas,2259,0.35,112.95
2015-01-06,Food Grains,Atta & Flour,1243,0.31,385.33
2015-01-06,Snacks,Cookies,1504,0.23,616.64
2015-01-06,Snacks,Noodles,1495,0.19,194.35
2015-01-06,Oil & Masala,Masalas,1113,0.31,144.69
2015-01-06,Fruits & Veggies,Organic Vegetables,2201,0.19,352.16
2015-01-06,Snacks,Noodles,2157,0.18,258.84
2015-01-06,Oil & Masala,Edible Oil & Ghee,796,0.33,143.28
2015-01-06,"Eggs, Meat & Fish",Fish,1258,0.14,364.82
2015-01-07,Bakery,Biscuits,1280,0.12,358.4
2015-01-07,"Eggs, Meat & Fish",Chicken,1936,0.1,96.8
2015-01-09,Food Grains,Dals & Pulses,2409,0.27,867.24
2015-01-09,Oil & Masala,Spices,1432,0.15,300.72
2015-01-10,"Eggs, Meat & Fish",Chicken,1066,0.27,191.88
2015-01-10,"Eggs, Meat & Fish",Fish,1330,0.31,119.7
2015-01-11,Fruits & Veggies,Fresh Fruits,2019,0.14,868.17
2015-01-13,Beverages,Health Drinks,1401,0.31,462.33
2015-01-13,"Eggs, Meat & Fish",Chicken,1949,0.18,760.11
2015-01-13,Beverages,Health Drinks,2239,0.1,985.16
2015-01-13,Snacks,Noodles,1903,0.11,666.05
2015-01-13,Food Grains,Atta & Flour,1367,0.13,136.7
2015-01-13,Food Grains,Rice,1497,0.12,164.67
2015-01-13,Food Grains,Dals & Pulses,610,0.32,134.2
2015-01-13,Oil & Masala,Masalas,1767,0.33,406.41
2015-01-13,Bakery,Cakes,1073,0.33,128.76
2015-01-13,Oil & Masala,Spices,1594,0.29,669.48
2015-01-13,Beverages,Health Drinks,1520,0.22,243.2
2015-01-14,Food Grains,Rice,1715,0.24,771.75
2015-01-15,Bakery,Biscuits,1883,0.1,301.28
2015-01-16,Food Grains,Rice,1398,0.12,139.8
2015-01-16,Beverages,Health Drinks,990,0.11,237.6
2015-01-16,Oil & Masala,Spices,2152,0.1,430.4
2015-01-16,"Eggs, Meat & Fish",Mutton,1169,0.22,362.39
2015-01-18,Food Grains,Organic Staples,1353,0.28,514.14
